cur_ori,distance
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,1.117e-05
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,0.0
0.00872664625997166,1.117e-05
0.00872664625997166,0.0075956
0.00872664625997166,0.008422178308002341
0.00872664625997166,0.010890750000000001
0.013962634015954767,0.015872557205728926
0.01745329251994343,0.020843208805368132
0.015707963267948988,0.02833828796251788
0.013962634015954767,0.03164460181237502
0.013962634015954767,0.03433657673299938
0.010471975511966103,0.03229242587258201
-0.005235987755982885,0.022987645785984962
-0.001745329251994221,0.04111667021810321
-0.005235987755982885,0.033521137884009525
-0.012217304763960213,0.032571658606704426
-0.020943951023931873,0.033208292787379065
-0.024434609527920537,0.032772773811983104
